"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-04,,quarterly,9.05,,,,,1976-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-05,,quarterly,9.05,,,,,1976-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-06,,quarterly,9.05,,,,,1976-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-07,,quarterly,8.37,,,,,1976-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-08,,quarterly,8.37,,,,,1976-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-09,,quarterly,8.37,,,,,1976-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-10,,quarterly,8.9,,,,,1976-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-11,,quarterly,8.9,,,,,1976-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-12,,quarterly,8.9,,,,,1976-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-01,,quarterly,7.51,,,,,1977-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-02,,quarterly,7.51,,,,,1977-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-03,,quarterly,7.51,,,,,1977-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-04,,quarterly,6.32,,,,,1977-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-05,,quarterly,6.32,,,,,1977-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-06,,quarterly,6.32,,,,,1977-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-07,,quarterly,6.95,,,,,1977-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-08,,quarterly,6.95,,,,,1977-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-09,,quarterly,6.95,,,,,1977-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-10,,quarterly,8.56,,,,,1977-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-11,,quarterly,8.56,,,,,1977-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-12,,quarterly,8.56,,,,,1977-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-01,,quarterly,10.19,,,,,1978-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-02,,quarterly,10.19,,,,,1978-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-03,,quarterly,10.19,,,,,1978-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-04,,quarterly,13.75,,,,,1978-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-05,,quarterly,13.75,,,,,1978-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-06,,quarterly,13.75,,,,,1978-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-07,,quarterly,18.23,,,,,1978-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-08,,quarterly,18.23,,,,,1978-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-09,,quarterly,18.23,,,,,1978-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-10,,quarterly,22.77,,,,,1978-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-11,,quarterly,22.77,,,,,1978-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-12,,quarterly,22.77,,,,,1978-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-01,,quarterly,26.37,,,,,1979-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-02,,quarterly,26.37,,,,,1979-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-03,,quarterly,26.37,,,,,1979-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-04,,quarterly,29.9,,,,,1979-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-05,,quarterly,29.9,,,,,1979-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-06,,quarterly,29.9,,,,,1979-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-07,,quarterly,30.69,,,,,1979-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-08,,quarterly,30.69,,,,,1979-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-09,,quarterly,30.69,,,,,1979-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-10,,quarterly,30.24,,,,,1979-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-11,,quarterly,30.24,,,,,1979-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-12,,quarterly,30.24,,,,,1979-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-01,,quarterly,28.59,,,,,1980-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-02,,quarterly,28.59,,,,,1980-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-03,,quarterly,28.59,,,,,1980-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-04,,quarterly,24.15,,,,,1980-04-01
