Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-07,,quarterly,17384,,,,,01/07/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-08,,quarterly,17384,,,,,01/08/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-09,,quarterly,17384,,,,,01/09/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-10,,quarterly,18542,,,,,01/10/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-11,,quarterly,18542,,,,,01/11/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-12,,quarterly,18542,,,,,01/12/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-01,,quarterly,19273,,,,,01/01/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-02,,quarterly,19273,,,,,01/02/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-03,,quarterly,19273,,,,,01/03/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-04,,quarterly,20044,,,,,01/04/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-05,,quarterly,20044,,,,,01/05/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-06,,quarterly,20044,,,,,01/06/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-07,,quarterly,20857,,,,,01/07/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-08,,quarterly,20857,,,,,01/08/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-09,,quarterly,20857,,,,,01/09/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-10,,quarterly,20897,,,,,01/10/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-11,,quarterly,20897,,,,,01/11/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-12,,quarterly,20897,,,,,01/12/1980
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-01,,quarterly,20938,,,,,01/01/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-02,,quarterly,20938,,,,,01/02/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-03,,quarterly,20938,,,,,01/03/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-04,,quarterly,21507,,,,,01/04/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-05,,quarterly,21507,,,,,01/05/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-06,,quarterly,21507,,,,,01/06/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-07,,quarterly,21852,,,,,01/07/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-08,,quarterly,21852,,,,,01/08/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-09,,quarterly,21852,,,,,01/09/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-10,,quarterly,21425,,,,,01/10/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-11,,quarterly,21425,,,,,01/11/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-12,,quarterly,21425,,,,,01/12/1981
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-01,,quarterly,20897,,,,,01/01/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-02,,quarterly,20897,,,,,01/02/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-03,,quarterly,20897,,,,,01/03/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-04,,quarterly,21811,,,,,01/04/1982
